"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","I5101",""
"地域 コード","地域","調査年 コード","調査年","/項目","I5101_病院数【施設】","注釈"
"01208","北海道 北見市","2007100000","2007年度","","14",""
"01208","北海道 北見市","2006100000","2006年度","","14",""
"01208","北海道 北見市","2005100000","2005年度","","14",""
"01208","北海道 北見市","2004100000","2004年度","","15",""
"01208","北海道 北見市","2003100000","2003年度","","15",""
"01208","北海道 北見市","2002100000","2002年度","","15",""
"01208","北海道 北見市","2001100000","2001年度","","15",""
"01208","北海道 北見市","2000100000","2000年度","","15",""
"01208","北海道 北見市","1999100000","1999年度","","15",""
"01208","北海道 北見市","1998100000","1998年度","","15",""
"01208","北海道 北見市","1997100000","1997年度","","14",""
"01209","北海道 夕張市","2019100000","2019年度","","0",""
"01209","北海道 夕張市","2018100000","2018年度","","0",""
"01209","北海道 夕張市","2017100000","2017年度","","0",""
"01209","北海道 夕張市","2016100000","2016年度","","0",""
"01209","北海道 夕張市","2015100000","2015年度","","0",""
"01209","北海道 夕張市","2014100000","2014年度","","0",""
"01209","北海道 夕張市","2013100000","2013年度","","0",""
"01209","北海道 夕張市","2012100000","2012年度","","0",""
"01209","北海道 夕張市","2011100000","2011年度","","0",""
"01209","北海道 夕張市","2010100000","2010年度","","0",""
"01209","北海道 夕張市","2009100000","2009年度","","0",""
"01209","北海道 夕張市","2008100000","2008年度","","0",""
"01209","北海道 夕張市","2007100000","2007年度","","0",""
"01209","北海道 夕張市","2006100000","2006年度","","1",""
"01209","北海道 夕張市","2005100000","2005年度","","1",""
"01209","北海道 夕張市","2004100000","2004年度","","1",""
"01209","北海道 夕張市","2003100000","2003年度","","1",""
"01209","北海道 夕張市","2002100000","2002年度","","1",""
"01209","北海道 夕張市","2001100000","2001年度","","1",""
"01209","北海道 夕張市","2000100000","2000年度","","1",""
"01209","北海道 夕張市","1999100000","1999年度","","1",""
"01209","北海道 夕張市","1998100000","1998年度","","1",""
"01209","北海道 夕張市","1997100000","1997年度","","1",""
"01210","北海道 岩見沢市","2019100000","2019年度","","8",""
"01210","北海道 岩見沢市","2018100000","2018年度","","8",""
"01210","北海道 岩見沢市","2017100000","2017年度","","8",""
"01210","北海道 岩見沢市","2016100000","2016年度","","8",""
"01210","北海道 岩見沢市","2015100000","2015年度","","8",""
