"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","C120110",""
"地域 コード","地域","調査年 コード","調査年","/項目","C120110_課税対象所得【千円】","注釈"
"01207","北海道 帯広市","2017100000","2017年度","","221,133,947",""
"01207","北海道 帯広市","2016100000","2016年度","","214,513,751",""
"01207","北海道 帯広市","2015100000","2015年度","","211,286,467",""
"01207","北海道 帯広市","2014100000","2014年度","","207,721,718",""
"01207","北海道 帯広市","2013100000","2013年度","","205,508,490",""
"01207","北海道 帯広市","2012100000","2012年度","","202,615,889",""
"01207","北海道 帯広市","2011100000","2011年度","","202,730,806",""
"01207","北海道 帯広市","2010100000","2010年度","","201,882,203",""
"01207","北海道 帯広市","2009100000","2009年度","","205,184,368",""
"01207","北海道 帯広市","2008100000","2008年度","","208,719,649",""
"01207","北海道 帯広市","2007100000","2007年度","","213,071,907",""
"01207","北海道 帯広市","2006100000","2006年度","","219,791,454",""
"01207","北海道 帯広市","2005100000","2005年度","","218,355,637",""
"01207","北海道 帯広市","2004100000","2004年度","","219,845,263",""
"01207","北海道 帯広市","2003100000","2003年度","","229,682,406",""
"01207","北海道 帯広市","2002100000","2002年度","","233,665,232",""
"01207","北海道 帯広市","2001100000","2001年度","","239,437,969",""
"01208","北海道 北見市","2020100000","2020年度","","154,881,059",""
"01208","北海道 北見市","2019100000","2019年度","","152,808,378",""
"01208","北海道 北見市","2018100000","2018年度","","150,222,210",""
"01208","北海道 北見市","2017100000","2017年度","","147,086,570",""
"01208","北海道 北見市","2016100000","2016年度","","143,273,670",""
"01208","北海道 北見市","2015100000","2015年度","","140,845,591",""
"01208","北海道 北見市","2014100000","2014年度","","139,959,273",""
"01208","北海道 北見市","2013100000","2013年度","","138,367,308",""
"01208","北海道 北見市","2012100000","2012年度","","139,650,697",""
"01208","北海道 北見市","2011100000","2011年度","","140,825,982",""
"01208","北海道 北見市","2010100000","2010年度","","137,802,813",""
"01208","北海道 北見市","2009100000","2009年度","","139,396,314",""
"01208","北海道 北見市","2008100000","2008年度","","143,342,258",""
"01208","北海道 北見市","2007100000","2007年度","","147,886,629",""
"01208","北海道 北見市","2006100000","2006年度","","150,958,851",""
"01208","北海道 北見市","2005100000","2005年度","","149,864,915",""
"01208","北海道 北見市","2004100000","2004年度","","148,440,508",""
"01208","北海道 北見市","2003100000","2003年度","","151,950,828",""
"01208","北海道 北見市","2002100000","2002年度","","156,433,133",""
"01208","北海道 北見市","2001100000","2001年度","","161,334,353",""
"01209","北海道 夕張市","2020100000","2020年度","","6,853,040",""
"01209","北海道 夕張市","2019100000","2019年度","","7,173,820",""
"01209","北海道 夕張市","2018100000","2018年度","","7,237,911",""
"01209","北海道 夕張市","2017100000","2017年度","","7,443,835",""
"01209","北海道 夕張市","2016100000","2016年度","","7,366,544",""
"01209","北海道 夕張市","2015100000","2015年度","","7,377,411",""
"01209","北海道 夕張市","2014100000","2014年度","","7,568,204",""
"01209","北海道 夕張市","2013100000","2013年度","","7,731,759",""
"01209","北海道 夕張市","2012100000","2012年度","","7,849,980",""
"01209","北海道 夕張市","2011100000","2011年度","","8,431,177",""
"01209","北海道 夕張市","2010100000","2010年度","","8,515,333",""
"01209","北海道 夕張市","2009100000","2009年度","","9,119,207",""
"01209","北海道 夕張市","2008100000","2008年度","","9,588,910",""
"01209","北海道 夕張市","2007100000","2007年度","","11,279,474",""
"01209","北海道 夕張市","2006100000","2006年度","","12,658,171",""
"01209","北海道 夕張市","2005100000","2005年度","","11,851,029",""
"01209","北海道 夕張市","2004100000","2004年度","","11,743,540",""
"01209","北海道 夕張市","2003100000","2003年度","","12,286,053",""
"01209","北海道 夕張市","2002100000","2002年度","","12,980,199",""
"01209","北海道 夕張市","2001100000","2001年度","","13,348,732",""
"01210","北海道 岩見沢市","2020100000","2020年度","","93,437,287",""
"01210","北海道 岩見沢市","2019100000","2019年度","","92,888,050",""
"01210","北海道 岩見沢市","2018100000","2018年度","","93,888,350",""
"01210","北海道 岩見沢市","2017100000","2017年度","","92,184,407",""
"01210","北海道 岩見沢市","2016100000","2016年度","","90,861,001",""
"01210","北海道 岩見沢市","2015100000","2015年度","","88,659,463",""
"01210","北海道 岩見沢市","2014100000","2014年度","","89,765,984",""
"01210","北海道 岩見沢市","2013100000","2013年度","","91,220,342",""
"01210","北海道 岩見沢市","2012100000","2012年度","","91,021,142",""
"01210","北海道 岩見沢市","2011100000","2011年度","","92,089,328",""
"01210","北海道 岩見沢市","2010100000","2010年度","","92,705,106",""
"01210","北海道 岩見沢市","2009100000","2009年度","","95,835,798",""
"01210","北海道 岩見沢市","2008100000","2008年度","","97,806,378",""
"01210","北海道 岩見沢市","2007100000","2007年度","","100,773,569",""
"01210","北海道 岩見沢市","2006100000","2006年度","","102,329,297",""
"01210","北海道 岩見沢市","2005100000","2005年度","","97,681,200",""
"01210","北海道 岩見沢市","2004100000","2004年度","","98,563,345",""
"01210","北海道 岩見沢市","2003100000","2003年度","","99,351,944",""
"01210","北海道 岩見沢市","2002100000","2002年度","","103,160,441",""
"01210","北海道 岩見沢市","2001100000","2001年度","","103,888,352",""
"01211","北海道 網走市","2020100000","2020年度","","50,402,329",""
"01211","北海道 網走市","2019100000","2019年度","","51,818,996",""
"01211","北海道 網走市","2018100000","2018年度","","52,009,916",""
"01211","北海道 網走市","2017100000","2017年度","","51,149,787",""
"01211","北海道 網走市","2016100000","2016年度","","50,910,123",""
"01211","北海道 網走市","2015100000","2015年度","","49,028,049",""
"01211","北海道 網走市","2014100000","2014年度","","50,908,580",""
"01211","北海道 網走市","2013100000","2013年度","","50,277,241",""
"01211","北海道 網走市","2012100000","2012年度","","51,258,152",""
"01211","北海道 網走市","2011100000","2011年度","","50,875,991",""
"01211","北海道 網走市","2010100000","2010年度","","49,268,108",""
"01211","北海道 網走市","2009100000","2009年度","","50,701,151",""
